place,date,value
retail_rec,2020-03-01,102.71428571428571
transit_stations,2020-03-02,99.57142857142857
workplaces,2020-03-02,100.42857142857143
grocery_pharm,2020-03-02,102.28571428571429
residential,2020-03-02,100.28571428571429
retail_rec,2020-03-02,102.28571428571429
transit_stations,2020-03-03,99.71428571428571
workplaces,2020-03-03,100.71428571428571
grocery_pharm,2020-03-03,103
residential,2020-03-03,100.14285714285714
retail_rec,2020-03-03,102.85714285714286
transit_stations,2020-03-04,99.85714285714286
workplaces,2020-03-04,100.85714285714286
grocery_pharm,2020-03-04,103.14285714285714
residential,2020-03-04,100.14285714285714
retail_rec,2020-03-04,102.71428571428571
transit_stations,2020-03-05,99.42857142857143
workplaces,2020-03-05,100.85714285714286
grocery_pharm,2020-03-05,103.14285714285714
residential,2020-03-05,100.14285714285714
retail_rec,2020-03-05,102.28571428571429
transit_stations,2020-03-06,99
workplaces,2020-03-06,100.71428571428571
grocery_pharm,2020-03-06,103.14285714285714
residential,2020-03-06,100.28571428571429
retail_rec,2020-03-06,101.71428571428571
transit_stations,2020-03-07,98.57142857142857
workplaces,2020-03-07,100.57142857142857
grocery_pharm,2020-03-07,103.42857142857143
residential,2020-03-07,100.42857142857143
retail_rec,2020-03-07,101.14285714285714
transit_stations,2020-03-08,98
workplaces,2020-03-08,100.42857142857143
grocery_pharm,2020-03-08,103.71428571428571
residential,2020-03-08,100.42857142857143
retail_rec,2020-03-08,100.85714285714286
transit_stations,2020-03-09,97.28571428571429
workplaces,2020-03-09,100.28571428571429
grocery_pharm,2020-03-09,105
residential,2020-03-09,100.57142857142857
retail_rec,2020-03-09,100.85714285714286
transit_stations,2020-03-10,95.85714285714286
workplaces,2020-03-10,99.57142857142857
grocery_pharm,2020-03-10,105.71428571428571
residential,2020-03-10,100.85714285714286
retail_rec,2020-03-10,99.85714285714286
transit_stations,2020-03-11,93.85714285714286
workplaces,2020-03-11,99.14285714285714
grocery_pharm,2020-03-11,106.42857142857143
residential,2020-03-11,101.14285714285714
retail_rec,2020-03-11,98.42857142857143
transit_stations,2020-03-12,91.28571428571429
workplaces,2020-03-12,98.42857142857143
grocery_pharm,2020-03-12,107.14285714285714
residential,2020-03-12,101.57142857142857
retail_rec,2020-03-12,96.28571428571429
transit_stations,2020-03-13,89.42857142857143
workplaces,2020-03-13,97.14285714285714
grocery_pharm,2020-03-13,109.42857142857143
residential,2020-03-13,102
retail_rec,2020-03-13,95.85714285714286
transit_stations,2020-03-14,86.14285714285714
workplaces,2020-03-14,94.85714285714286
grocery_pharm,2020-03-14,111.71428571428571
residential,2020-03-14,102.85714285714286
retail_rec,2020-03-14,94
transit_stations,2020-03-15,82.14285714285714
workplaces,2020-03-15,91.57142857142857
grocery_pharm,2020-03-15,114.14285714285714
residential,2020-03-15,104.14285714285714
retail_rec,2020-03-15,91
transit_stations,2020-03-16,78
workplaces,2020-03-16,87.85714285714286
grocery_pharm,2020-03-16,116
residential,2020-03-16,105.42857142857143
retail_rec,2020-03-16,88.14285714285714
transit_stations,2020-03-17,73.57142857142857
workplaces,2020-03-17,84.28571428571429
grocery_pharm,2020-03-17,115.85714285714286
residential,2020-03-17,107
retail_rec,2020-03-17,84.42857142857143
transit_stations,2020-03-18,69.14285714285714
workplaces,2020-03-18,81
grocery_pharm,2020-03-18,115
residential,2020-03-18,108.28571428571429
retail_rec,2020-03-18,78.71428571428571
transit_stations,2020-03-19,64.85714285714286
workplaces,2020-03-19,77.28571428571429
grocery_pharm,2020-03-19,112
residential,2020-03-19,109.28571428571429
retail_rec,2020-03-19,72.28571428571429
transit_stations,2020-03-20,59.57142857142857
workplaces,2020-03-20,72.14285714285714
grocery_pharm,2020-03-20,108
residential,2020-03-20,111.14285714285714
retail_rec,2020-03-20,66.28571428571429
transit_stations,2020-03-21,54.285714285714285
workplaces,2020-03-21,66.14285714285714
grocery_pharm,2020-03-21,101.57142857142857
residential,2020-03-21,113.57142857142857
retail_rec,2020-03-21,58.285714285714285
transit_stations,2020-03-22,49.42857142857143
workplaces,2020-03-22,60.285714285714285
grocery_pharm,2020-03-22,94.71428571428571
residential,2020-03-22,115.85714285714286
retail_rec,2020-03-22,50.857142857142854
transit_stations,2020-03-23,44.714285714285715
workplaces,2020-03-23,54.714285714285715
grocery_pharm,2020-03-23,87.28571428571429
residential,2020-03-23,118.14285714285714
retail_rec,2020-03-23,43.285714285714285
transit_stations,2020-03-24,40.285714285714285
workplaces,2020-03-24,49.42857142857143
grocery_pharm,2020-03-24,81.71428571428571
residential,2020-03-24,120.28571428571429
retail_rec,2020-03-24,36.42857142857143
transit_stations,2020-03-25,36.285714285714285
workplaces,2020-03-25,44.857142857142854
grocery_pharm,2020-03-25,76
residential,2020-03-25,121.57142857142857
retail_rec,2020-03-25,31.714285714285715
transit_stations,2020-03-26,32.142857142857146
workplaces,2020-03-26,41.285714285714285
grocery_pharm,2020-03-26,71.42857142857143
residential,2020-03-26,122.42857142857143
retail_rec,2020-03-26,27.571428571428573
