place,date,value,StringencyIndex_Average_ForDisplay
Retail & recreation,2020-03-31,22.571428571428573,44.44
Grocery & pharmacy,2020-03-31,65.57142857142857,44.44
Residential,2020-03-31,125,44.44
Transit stations,2020-04-01,27.142857142857142,44.44
Workplaces,2020-04-01,34.42857142857143,44.44
Retail & recreation,2020-04-01,22.857142857142858,44.44
Grocery & pharmacy,2020-04-01,66,44.44
Residential,2020-04-01,124.85714285714286,44.44
Transit stations,2020-04-02,27.857142857142858,44.44
Workplaces,2020-04-02,34.57142857142857,44.44
Retail & recreation,2020-04-02,23.285714285714285,44.44
Grocery & pharmacy,2020-04-02,66.71428571428571,44.44
Residential,2020-04-02,124.85714285714286,44.44
Transit stations,2020-04-03,28,44.44
Workplaces,2020-04-03,34.42857142857143,44.44
Retail & recreation,2020-04-03,23.428571428571427,44.44
Grocery & pharmacy,2020-04-03,66.85714285714286,44.44
Residential,2020-04-03,124.85714285714286,44.44
Transit stations,2020-04-04,28.428571428571427,44.44
Workplaces,2020-04-04,34.42857142857143,44.44
Retail & recreation,2020-04-04,23.571428571428573,44.44
Grocery & pharmacy,2020-04-04,67,44.44
Residential,2020-04-04,124.85714285714286,44.44
Transit stations,2020-04-05,28.857142857142858,44.44
Workplaces,2020-04-05,34.285714285714285,44.44
Retail & recreation,2020-04-05,23.857142857142858,44.44
Grocery & pharmacy,2020-04-05,67.71428571428571,44.44
Residential,2020-04-05,124.71428571428571,44.44
Transit stations,2020-04-06,29.285714285714285,44.44
Workplaces,2020-04-06,34.285714285714285,44.44
Retail & recreation,2020-04-06,24.428571428571427,44.44
Grocery & pharmacy,2020-04-06,69.42857142857143,44.44
Residential,2020-04-06,124.42857142857143,44.44
Transit stations,2020-04-07,28.857142857142858,44.44
Workplaces,2020-04-07,32.714285714285715,44.44
Retail & recreation,2020-04-07,24.142857142857142,44.44
Grocery & pharmacy,2020-04-07,69,44.44
Residential,2020-04-07,124.85714285714286,44.44
Transit stations,2020-04-08,29.142857142857142,44.44
Workplaces,2020-04-08,32.714285714285715,44.44
Retail & recreation,2020-04-08,24.142857142857142,44.44
Grocery & pharmacy,2020-04-08,69.57142857142857,44.44
Residential,2020-04-08,124.85714285714286,44.44
Transit stations,2020-04-09,29,44.44
Workplaces,2020-04-09,32.142857142857146,44.44
Retail & recreation,2020-04-09,23.142857142857142,44.44
Grocery & pharmacy,2020-04-09,66.42857142857143,44.44
Residential,2020-04-09,125,44.44
Transit stations,2020-04-10,28.142857142857142,44.44
Workplaces,2020-04-10,30.285714285714285,44.44
Retail & recreation,2020-04-10,22.428571428571427,44.44
